column1,column2,column3,column4,column5,column6,column7,column8,column9
LocID,Location,Time,AgeGrp,AgeGrpStart,AgeGrpSpan,PopMale,PopFemale,PopTotal
826,United Kingdom,1950,0-4,0,5,2238.736,2131.911,4370.647
840,United States of America,1950,0-4,0,5,8812.309,8424.578,17236.887
826,United Kingdom,1951,0-4,0,5,2215.557,2106.735,4322.292
840,United States of America,1951,0-4,0,5,9073.606,8683.648,17757.254
826,United Kingdom,1952,0-4,0,5,2104.248,2000.366,4104.614
840,United States of America,1952,0-4,0,5,9248.789,8856.9,18105.689
826,United Kingdom,1953,0-4,0,5,2009.206,1910.835,3920.041
840,United States of America,1953,0-4,0,5,9421.183,9025.588,18446.771
826,United Kingdom,1954,0-4,0,5,1957.874,1862.298,3820.172
840,United States of America,1954,0-4,0,5,9620.709,9219.137,18839.846
826,United Kingdom,1955,0-4,0,5,1943.341,1846.792,3790.133
840,United States of America,1955,0-4,0,5,9844.404,9434.65,19279.054
826,United Kingdom,1956,0-4,0,5,1851.624,1759.066,3610.69
840,United States of America,1956,0-4,0,5,9984.279,9566.384,19550.663
826,United Kingdom,1957,0-4,0,5,1865.499,1770.607,3636.106
840,United States of America,1957,0-4,0,5,10174.487,9750.527,19925.014
826,United Kingdom,1958,0-4,0,5,1937.942,1837.606,3775.548
840,United States of America,1958,0-4,0,5,10366.074,9938.825,20304.899
826,United Kingdom,1959,0-4,0,5,2026.895,1921.318,3948.213
840,United States of America,1959,0-4,0,5,10511.235,10082.558,20593.793
826,United Kingdom,1960,0-4,0,5,2106.178,1996.934,4103.112
840,United States of America,1960,0-4,0,5,10581.516,10151.001,20732.517
826,United Kingdom,1961,0-4,0,5,2237.369,2117.854,4355.223
840,United States of America,1961,0-4,0,5,10686.033,10240.184,20926.217
826,United Kingdom,1962,0-4,0,5,2327.68,2206.033,4533.713
840,United States of America,1962,0-4,0,5,10649.021,10201.352,20850.373
826,United Kingdom,1963,0-4,0,5,2382.082,2263.668,4645.75
840,United States of America,1963,0-4,0,5,10500.05,10061.539,20561.589
826,United Kingdom,1964,0-4,0,5,2419.035,2305.199,4724.234
840,United States of America,1964,0-4,0,5,10296.747,9873.404,20170.151
826,United Kingdom,1965,0-4,0,5,2451.581,2341.68,4793.261
840,United States of America,1965,0-4,0,5,10087.043,9677.523,19764.566
826,United Kingdom,1966,0-4,0,5,2494.048,2391.862,4885.91
840,United States of America,1966,0-4,0,5,9846.983,9433.004,19279.987
826,United Kingdom,1967,0-4,0,5,2497.423,2398.728,4896.151
840,United States of America,1967,0-4,0,5,9606.771,9199.527,18806.298
826,United Kingdom,1968,0-4,0,5,2473.252,2375.436,4848.688
840,United States of America,1968,0-4,0,5,9384.988,8987.256,18372.244
826,United Kingdom,1969,0-4,0,5,2431.363,2333.814,4765.177
840,United States of America,1969,0-4,0,5,9186.645,8794.798,17981.443
826,United Kingdom,1970,0-4,0,5,2380.116,2282.239,4662.355
840,United States of America,1970,0-4,0,5,9002.242,8612.748,17614.99
826,United Kingdom,1971,0-4,0,5,2300.168,2194.778,4494.946
