LocID,Location,Time,AgeGrp,AgeGrpStart,AgeGrpSpan,PopMale,PopFemale,PopTotal
NA,NA,NA,NA,NA,NA,NA,NA,NA 
NA,NA,NA,NA,NA,NA,NA,NA,NA 
NA,NA,NA,NA,NA,NA,NA,NA,NA 
NA,NA,NA,NA,NA,NA,NA,NA,NA 
826,United Kingdom,2000,0-4,0,5,1819.273,1731.377,3550.65
840,United States of America,2000,0-4,0,5,10000.905,9563.676,19564.581
826,United Kingdom,2001,0-4,0,5,1787.122,1701.328,3488.45
840,United States of America,2001,0-4,0,5,9892.891,9467.08,19359.971
826,United Kingdom,2002,0-4,0,5,1764.248,1679.595,3443.843
840,United States of America,2002,0-4,0,5,9941.645,9513.949,19455.594
826,United Kingdom,2003,0-4,0,5,1752.187,1667.951,3420.138
840,United States of America,2003,0-4,0,5,10087.918,9650.779,19738.697
826,United Kingdom,2004,0-4,0,5,1753.834,1669.739,3423.573
840,United States of America,2004,0-4,0,5,10244.644,9797.286,20041.93
826,United Kingdom,2005,0-4,0,5,1771.16,1686.9,3458.06
840,United States of America,2005,0-4,0,5,10362.146,9907.891,20270.037
826,United Kingdom,2006,0-4,0,5,1796.103,1708.747,3504.85
840,United States of America,2006,0-4,0,5,10635.614,10165.708,20801.322
826,United Kingdom,2007,0-4,0,5,1840.573,1752.014,3592.587
840,United States of America,2007,0-4,0,5,10759.269,10283.485,21042.754
826,United Kingdom,2008,0-4,0,5,1896.204,1807.615,3703.819
840,United States of America,2008,0-4,0,5,10767.485,10292.41,21059.895
826,United Kingdom,2009,0-4,0,5,1950.016,1861.39,3811.406
840,United States of America,2009,0-4,0,5,10723.885,10250.744,20974.629
826,United Kingdom,2010,0-4,0,5,1993.924,1904.148,3898.072
840,United States of America,2010,0-4,0,5,10682.016,10208.213,20890.229
826,United Kingdom,2011,0-4,0,5,2061.61,1969.268,4030.878
840,United States of America,2011,0-4,0,5,10667.155,10196.908,20864.063
826,United Kingdom,2012,0-4,0,5,2094.158,1999.856,4094.014
840,United States of America,2012,0-4,0,5,10572.495,10106.691,20679.186
826,United Kingdom,2013,0-4,0,5,2101.25,2005.325,4106.575
840,United States of America,2013,0-4,0,5,10438.484,9977.56,20416.044
826,United Kingdom,2014,0-4,0,5,2097.372,2000.283,4097.655
840,United States of America,2014,0-4,0,5,10303.34,9847.875,20151.215
826,United Kingdom,2015,0-4,0,5,2092.365,1994.566,4086.931
840,United States of America,2015,0-4,0,5,10192.623,9742.839,19935.462
826,United Kingdom,2016,0-4,0,5,2071.298,1972.709,4044.007
840,United States of America,2016,0-4,0,5,10019.268,9575.909,19595.177
826,United Kingdom,2017,0-4,0,5,2052.332,1954.398,4006.73
840,United States of America,2017,0-4,0,5,9956.809,9517.973,19474.782
826,United Kingdom,2018,0-4,0,5,2036.635,1940.226,3976.861
840,United States of America,2018,0-4,0,5,9973.749,9537.772,19511.521
826,United Kingdom,2019,0-4,0,5,2022.994,1928.052,3951.046
840,United States of America,2019,0-4,0,5,10019.24,9584.856,19604.096
826,United Kingdom,2020,0-4,0,5,2009.363,1915.127,3924.49
840,United States of America,2020,0-4,0,5,10055.063,9621.269,19676.332
826,United Kingdom,2021,0-4,0,5,1980.901,1888.382,3869.283
840,United States of America,2021,0-4,0,5,10127.537,9691.95,19819.487
826,United Kingdom,2022,0-4,0,5,1976.247,1883.777,3860.024
840,United States of America,2022,0-4,0,5,10199.563,9761.465,19961.028
826,United Kingdom,2023,0-4,0,5,1985.435,1891.859,3877.294
840,United States of America,2023,0-4,0,5,10265.529,9824.452,20089.981
826,United Kingdom,2024,0-4,0,5,1995.2,1900.37,3895.57
840,United States of America,2024,0-4,0,5,10329.762,9885.302,20215.064
826,United Kingdom,2025,0-4,0,5,1996.062,1900.526,3896.588
840,United States of America,2025,0-4,0,5,10394.42,9945.855,20340.275
826,United Kingdom,2026,0-4,0,5,2007.951,1911.395,3919.346
840,United States of America,2026,0-4,0,5,10487.325,10033.308,20520.633
826,United Kingdom,2027,0-4,0,5,2001.963,1905.727,3907.69
840,United States of America,2027,0-4,0,5,10546.28,10089.937,20636.217
826,United Kingdom,2028,0-4,0,5,1983.565,1888.558,3872.123
840,United States of America,2028,0-4,0,5,10582.99,10125.881,20708.871
826,United Kingdom,2029,0-4,0,5,1963.467,1869.753,3833.22
840,United States of America,2029,0-4,0,5,10609.963,10151.627,20761.59
826,United Kingdom,2030,0-4,0,5,1948.889,1855.921,3804.81
840,United States of America,2030,0-4,0,5,10634.887,10173.267,20808.154
826,United Kingdom,2031,0-4,0,5,1930.087,1838.464,3768.551
840,United States of America,2031,0-4,0,5,10629.703,10168.761,20798.464
826,United Kingdom,2032,0-4,0,5,1919.826,1828.888,3748.714
840,United States of America,2032,0-4,0,5,10639.978,10178.726,20818.704
826,United Kingdom,2033,0-4,0,5,1916.731,1825.893,3742.624
840,United States of America,2033,0-4,0,5,10660.076,10197.461,20857.537
826,United Kingdom,2034,0-4,0,5,1916.172,1825.151,3741.323
840,United States of America,2034,0-4,0,5,10678.372,10213.707,20892.079
826,United Kingdom,2035,0-4,0,5,1914.792,1823.485,3738.277
840,United States of America,2035,0-4,0,5,10683.932,10216.636,20900.568
826,United Kingdom,2036,0-4,0,5,1913.539,1822.315,3735.854
840,United States of America,2036,0-4,0,5,10668.377,10201.313,20869.69
826,United Kingdom,2037,0-4,0,5,1916.172,1824.914,3741.086
840,United States of America,2037,0-4,0,5,10667.499,10200.7,20868.199
826,United Kingdom,2038,0-4,0,5,1921.119,1829.702,3750.821
840,United States of America,2038,0-4,0,5,10673.297,10206.66,20879.957
826,United Kingdom,2039,0-4,0,5,1927.447,1835.662,3763.109
840,United States of America,2039,0-4,0,5,10677.692,10210.659,20888.351
826,United Kingdom,2040,0-4,0,5,1934.133,1841.727,3775.86
840,United States of America,2040,0-4,0,5,10672.622,10204.015,20876.637
826,United Kingdom,2041,0-4,0,5,1943.967,1851.137,3795.104
840,United States of America,2041,0-4,0,5,10663.25,10195.112,20858.362
826,United Kingdom,2042,0-4,0,5,1953.251,1860.038,3813.289
840,United States of America,2042,0-4,0,5,10655.545,10188.211,20843.756
826,United Kingdom,2043,0-4,0,5,1961.815,1868.241,3830.056
840,United States of America,2043,0-4,0,5,10648.345,10181.716,20830.061
826,United Kingdom,2044,0-4,0,5,1969.283,1875.327,3844.61
840,United States of America,2044,0-4,0,5,10641.426,10174.777,20816.203
826,United Kingdom,2045,0-4,0,5,1975.067,1880.606,3855.673
840,United States of America,2045,0-4,0,5,10632.401,10164.26,20796.661
826,United Kingdom,2046,0-4,0,5,1980.69,1886.088,3866.778
840,United States of America,2046,0-4,0,5,10617.711,10149.965,20767.676
826,United Kingdom,2047,0-4,0,5,1984.48,1889.869,3874.349
840,United States of America,2047,0-4,0,5,10615.176,10148.01,20763.186
826,United Kingdom,2048,0-4,0,5,1986.504,1891.882,3878.386
840,United States of America,2048,0-4,0,5,10621.293,10154.384,20775.677
826,United Kingdom,2049,0-4,0,5,1986.804,1892.079,3878.883
840,United States of America,2049,0-4,0,5,10631.125,10163.623,20794.748
826,United Kingdom,2049,9-May,5,5,1977.963,1884.259,3862.222
840,United States of America,2049,9-May,5,5,10703.647,10237.728,20941.375
826,United Kingdom,2048,9-May,5,5,1969.902,1876.736,3846.638
840,United States of America,2048,9-May,5,5,10714.61,10249.562,20964.172
