LocID,Location,Time,AgeGrp,AgeGrpStart,AgeGrpSpan,PopMale,PopFemale,PopTotal
826,United Kingdom,2050,0-4,0,5,1985.088,1890.144,3875.232
840,United States of America,2050,0-4,0,5,10639.285,10169.779,20809.064
826,United Kingdom,2051,0-4,0,5,1979.958,1885.39,3865.348
840,United States of America,2051,0-4,0,5,10645.767,10175.584,20821.351
826,United Kingdom,2052,0-4,0,5,1976.4,1882.129,3858.529
,,,,,,,,
,,,,,,,,
840,United States of America,2052,0-4,0,5,10665.475,10194.798,20860.273
826,United Kingdom,2053,0-4,0,5,1973.589,1879.533,3853.122
840,United States of America,2053,0-4,0,5,10693.803,10222.468,20916.271
826,United Kingdom,2054,0-4,0,5,1970.302,1876.368,3846.67
840,United States of America,2054,0-4,0,5,10725.185,10252.56,20977.745
826,United Kingdom,2055,0-4,0,5,1965.212,1871.268,3836.48
840,United States of America,2055,0-4,0,5,10753.51,10278.378,21031.888
826,United Kingdom,2056,0-4,0,5,1958.062,1864.559,3822.621
840,United States of America,2056,0-4,0,5,10783.519,10306.64,21090.159
826,United Kingdom,2057,0-4,0,5,1953.067,1859.943,3813.01
840,United States of America,2057,0-4,0,5,10820.761,10342.61,21163.371
826,United Kingdom,2058,0-4,0,5,1949.245,1856.416,3805.661
840,United States of America,2058,0-4,0,5,10861.053,10381.702,21242.755
826,United Kingdom,2059,0-4,0,5,1945.522,1852.858,3798.38
840,United States of America,2059,0-4,0,5,10899.054,10418.186,21317.24
826,United Kingdom,2060,0-4,0,5,1940.749,1848.045,3788.794
840,United States of America,2060,0-4,0,5,10928.845,10445.743,21374.588
826,United Kingdom,2061,0-4,0,5,1936.181,1843.795,3779.976
840,United States of America,2061,0-4,0,5,10957.023,10472.254,21429.277
826,United Kingdom,2062,0-4,0,5,1932.831,1840.761,3773.592
840,United States of America,2062,0-4,0,5,10986.06,10500.419,21486.479
826,United Kingdom,2063,0-4,0,5,1930.24,1838.406,3768.646
840,United States of America,2063,0-4,0,5,11013.322,10527.113,21540.435
826,United Kingdom,2064,0-4,0,5,1928.023,1836.263,3764.286
840,United States of America,2064,0-4,0,5,11035.921,10548.984,21584.905
826,United Kingdom,2065,0-4,0,5,1925.59,1833.656,3759.246
840,United States of America,2065,0-4,0,5,11049.625,10561.416,21611.041
826,United Kingdom,2066,0-4,0,5,1924.005,1832.278,3756.283
840,United States of America,2066,0-4,0,5,11055.565,10566.429,21621.994
826,United Kingdom,2067,0-4,0,5,1924.325,1832.768,3757.093
840,United States of America,2067,0-4,0,5,11068.969,10579.311,21648.28
826,United Kingdom,2068,0-4,0,5,1925.795,1834.278,3760.073
840,United States of America,2068,0-4,0,5,11084.996,10595.18,21680.176
826,United Kingdom,2069,0-4,0,5,1927.449,1835.785,3763.234
840,United States of America,2069,0-4,0,5,11097.089,10607.259,21704.348
826,United Kingdom,2070,0-4,0,5,1928.351,1836.32,3764.671
840,United States of America,2070,0-4,0,5,11098.282,10608.102,21706.384
826,United Kingdom,2071,0-4,0,5,1930.519,1838.549,3769.068
840,United States of America,2071,0-4,0,5,11094.9,10604.184,21699.084
826,United Kingdom,2072,0-4,0,5,1933.557,1841.612,3775.169
840,United States of America,2072,0-4,0,5,11097.386,10606.909,21704.295
826,United Kingdom,2073,0-4,0,5,1936.908,1844.892,3781.8
840,United States of America,2073,0-4,0,5,11102.059,10612.153,21714.212
826,United Kingdom,2074,0-4,0,5,1939.897,1847.662,3787.559
840,United States of America,2074,0-4,0,5,11105.268,10615.744,21721.012
826,United Kingdom,2075,0-4,0,5,1941.688,1849.03,3790.718
840,United States of America,2075,0-4,0,5,11102.044,10612.217,21714.261
826,United Kingdom,2076,0-4,0,5,1943.928,1851.286,3795.214
840,United States of America,2076,0-4,0,5,11097.866,10607.688,21705.554
826,United Kingdom,2077,0-4,0,5,1946.756,1854.126,3800.882
840,United States of America,2077,0-4,0,5,11104.832,10614.608,21719.44
826,United Kingdom,2078,0-4,0,5,1949.577,1856.927,3806.504
840,United States of America,2078,0-4,0,5,11118.149,10627.981,21746.13
826,United Kingdom,2079,0-4,0,5,1951.584,1858.81,3810.394
840,United States of America,2079,0-4,0,5,11131.771,10641.472,21773.243
826,United Kingdom,2080,0-4,0,5,1951.797,1858.686,3810.483
840,United States of America,2080,0-4,0,5,11139.079,10648.015,21787.094
826,United Kingdom,2081,0-4,0,5,1951.563,1858.608,3810.171
840,United States of America,2081,0-4,0,5,11150.92,10658.853,21809.773
826,United Kingdom,2082,0-4,0,5,1951.943,1859.178,3811.121
840,United States of America,2082,0-4,0,5,11171.002,10678.524,21849.526
826,United Kingdom,2083,0-4,0,5,1952.311,1859.663,3811.974
840,United States of America,2083,0-4,0,5,11194.924,10702.202,21897.126
826,United Kingdom,2084,0-4,0,5,1951.885,1859.193,3811.078
840,United States of America,2084,0-4,0,5,11217.521,10724.218,21941.739
826,United Kingdom,2085,0-4,0,5,1949.683,1856.694,3806.377
840,United States of America,2085,0-4,0,5,11232.819,10738.088,21970.907
826,United Kingdom,2086,0-4,0,5,1946.822,1854.135,3800.957
840,United States of America,2086,0-4,0,5,11252.463,10756.514,22008.977
826,United Kingdom,2087,0-4,0,5,1945.232,1852.829,3798.061
840,United States of America,2087,0-4,0,5,11277.393,10780.674,22058.067
826,United Kingdom,2088,0-4,0,5,1944.076,1851.845,3795.921
840,United States of America,2088,0-4,0,5,11304.14,10806.846,22110.986
826,United Kingdom,2089,0-4,0,5,1942.354,1850.118,3792.472
840,United States of America,2089,0-4,0,5,11328.267,10830.198,22158.465
826,United Kingdom,2090,0-4,0,5,1938.964,1846.492,3785.456
840,United States of America,2090,0-4,0,5,11343.97,10844.381,22188.351
826,United Kingdom,2091,0-4,0,5,1935.772,1843.595,3779.367
840,United States of America,2091,0-4,0,5,11360.982,10860.118,22221.1
826,United Kingdom,2092,0-4,0,5,1933.852,1841.941,3775.793
840,United States of America,2092,0-4,0,5,11385.355,10883.844,22269.199
